SC3 Probability
nDataSystems,trial,execution time0,0,2480
50,4,56
50,5,54
50,6,59
50,7,58
50,8,58
50,9,56
100,0,78
100,1,57
100,2,57
100,3,51
100,4,60
100,5,51
100,6,43
100,7,46
100,8,55
100,9,56
200,0,90
200,1,65
200,2,56
200,3,54
200,4,53
200,5,55
200,6,56
200,7,45
200,8,53
200,9,44
400,0,78
400,1,76
400,2,70
400,3,67
400,4,74
400,5,72
400,6,58
400,7,75
400,8,74
400,9,67
800,0,92
800,1,77
800,2,79
800,3,72
800,4,235
SC3 Probability
nDataSystems,trial,execution time
50,0,4258
50,1,77
50,2,78
50,3,71
50,4,80
50,5,75
50,6,54
50,7,53
50,8,51
50,9,52
100,0,86
100,1,56
100,2,82
100,3,55
100,4,50
100,5,63
100,6,54
100,7,54
100,8,58
100,9,63
200,0,72
200,1,73
200,2,60
200,3,55
200,4,62
200,5,55
200,6,57
200,7,57
200,8,57
200,9,53
400,0,746
400,1,77
400,2,70
400,3,53
400,4,64
400,5,63
400,6,51
400,7,56
400,8,67
400,9,65
800,0,97
800,1,74
800,2,77
800,3,77
800,4,76
800,5,82
800,6,78
800,7,77
800,8,117
800,9,79
1000,0,79
1000,1,79
1000,2,77
1000,3,90
1000,4,87
1000,5,98
1000,6,82
1000,7,76
1000,8,86
1000,9,67
2000,0,121
2000,1,87
2000,2,95
2000,3,84
2000,4,101
SC3 Probability
nDataSystems,trial,execution time
50,0,2762
50,1,76
50,2,65
50,3,54
50,4,66
50,5,54
50,6,46
50,7,53
50,8,60
50,9,47
100,0,82
100,1,60
100,2,58
100,3,57
100,4,58
100,5,61
100,6,52
100,7,55
100,8,51
100,9,59
200,0,80
200,1,55
200,2,55
200,3,65
200,4,55
200,5,53
200,6,51
200,7,56
200,8,58
200,9,51
400,0,78
400,1,64
400,2,65
400,3,64
400,4,60
400,5,57
400,6,66
400,7,64
400,8,53
400,9,65
800,0,90
800,1,81
800,2,67
800,3,80
800,4,76
800,5,64
800,6,76
800,7,65
800,8,76
800,9,75
1000,0,85
1000,1,69
1000,2,79
1000,3,74
1000,4,65
1000,5,77
1000,6,79
1000,7,79
1000,8,77
1000,9,60
2000,0,120
2000,1,80
2000,2,90
2000,3,117
2000,4,96
2000,5,98
2000,6,96
2000,7,90
