Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
44701273, 190286, 54920, 258183, 47735, 29303, 426748, 5979903
37942747, 220859, 66848, 371995, 53998, 284870, 789213, 11740441
41985997, 130386, 38661, 237065, 28947, 203495, 366200, 5628931
37737911, 114285, 31724, 196218, 25252, 222016, 362462, 7812176
36701884, 123599, 37128, 214801, 34123, 151555, 344369, 8237955
47122071, 251358, 70119, 474125, 63378, 802036, 711963, 7038402
46438858, 275854, 78711, 290296, 62561, 34914, 546935, 6955666
46911212, 195862, 87662, 374125, 64497, 38135, 607177, 7646626
47093301, 315764, 97270, 713782, 67177, 268045, 697755, 10030026
44191424, 305039, 80241, 492487, 86365, 51436, 759355, 9414693
43707656, 182419, 52372, 241315, 46679, 106691, 346057, 7163547
47239324, 1292481, 30496, 263861, 50431, 57138, 552929, 5883865
48401795, 304634, 52313, 534953, 61238, 172539, 716834, 7874170
45933273, 304429, 48278, 386940, 55641, 461118, 301299, 8849814
46010335, 237281, 51411, 491676, 61384, 257186, 1009680, 9107536
32580406, 124638, 28500, 179866, 47443, 1150060, 237392, 5738870
37715297, 169318, 40640, 247186, 47094, 26171, 479896, 9666201
33642258, 131111, 28760, 223040, 33151, 132578, 349064, 9082672
35379938, 234985, 52328, 316650, 58177, 33701, 480741, 9731227
35002986, 205301, 44117, 406045, 56440, 217168, 437533, 10477946
32494644, 100052, 22750, 120032, 21445, 11629, 175317, 4585597
39726595, 232707, 42032, 309152, 46355, 230013, 475451, 10646236
33279598, 213308, 47409, 284865, 53450, 29760, 434279, 9513840
34220086, 342363, 62195, 418771, 62381, 345440, 717801, 9129090
44791946, 203616, 44858, 405754, 58517, 292639, 645916, 13249494
41303171, 309815, 50093, 302824, 58813, 307525, 393699, 8649550
45331573, 216383, 52418, 436195, 58457, 263901, 711777, 7820246
46374270, 98316, 23971, 174315, 24696, 136768, 242628, 8449658
34624888, 91090, 20311, 111059, 20384, 10874, 162728, 4634832
39943388, 197208, 37618, 266903, 42550, 237579, 279775, 7105698
37398344, 237392, 50363, 427190, 61018, 361552, 946090, 7034046
46500482, 374381, 52714, 435022, 60963, 275347, 597702, 10179403
44050144, 322925, 56808, 430052, 74729, 469081, 362832, 6619853
48046940, 226110, 50303, 334305, 63648, 33690, 620827, 9378324
44012389, 243254, 54533, 513851, 118274, 32046, 581137, 5037499
37613084, 176806, 37101, 589002, 241127, 291118, 562112, 9250341
45315005, 218505, 46541, 375066, 84800, 243256, 719351, 7106662
46579266, 192467, 43995, 244584, 78697, 265805, 229754, 6622562
48382825, 246627, 52178, 430307, 46860, 297167, 636808, 8082412
46095964, 298268, 52303, 425622, 40401, 302062, 658222, 10028554
43828878, 210520, 46697, 393360, 35448, 230299, 542505, 13248725
40611836, 129285, 29088, 222245, 20840, 141473, 298833, 7389143
48536435, 209371, 47783, 275048, 37796, 293128, 256178, 7697183
46929678, 209343, 51331, 333508, 38803, 32569, 471595, 7980572
34856979, 195060, 43726, 290684, 33162, 27646, 388979, 8544789
36994895, 182615, 40622, 351721, 31256, 193868, 569960, 8725443
34565094, 202670, 44331, 578232, 39628, 289629, 705159, 13440452
