Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 425, 0
tx, check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY, txRelease
113190, 49282, 405664, 66527, 366449, 62656, 313331, 969047, 7994636, 3823
140510, 61890, 265504, 67418, 569775, 56447, 258185, 821786, 7506941, 3486
99175, 45305, 209362, 107921, 495312, 66442, 447951, 420350, 10820542, 2368
107941, 31262, 163130, 40070, 206435, 38735, 183737, 417704, 6625375, 3157
81409, 35928, 266957, 44866, 221593, 43765, 206093, 507799, 6604142, 2274
119840, 52931, 290598, 57640, 271794, 42866, 185734, 451094, 8652796, 3753
145874, 48574, 266219, 44715, 222578, 45365, 272536, 518880, 9336678, 4583
191836, 61468, 421531, 66229, 450057, 75570, 418183, 826579, 7456917, 2087
93127, 42782, 175862, 52160, 214340, 54642, 26926, 499864, 6093958, 2686
93180, 67992, 203976, 66002, 332984, 138216, 37250, 811513, 7538106, 3302
169370, 105332, 273302, 60007, 297401, 238489, 35546, 881202, 5500467, 2038
101526, 57810, 275170, 66457, 244159, 34328, 30515, 566725, 5388138, 1866
110009, 139791, 382481, 70863, 297876, 44989, 38565, 622884, 7584236, 3501
122551, 53514, 212828, 63769, 331893, 80617, 328294, 679431, 8851968, 3222
166368, 73615, 320042, 86555, 506958, 58419, 56179, 939058, 10164030, 3397
74705, 35968, 140577, 43110, 299717, 23700, 244222, 441168, 9354176, 2653
66993, 31630, 125759, 47533, 267627, 21686, 233772, 437141, 3778105, 1717
54096, 29516, 107221, 24909, 138360, 18413, 156480, 565643, 7036205, 3562
88482, 41801, 183037, 34234, 286128, 28465, 380983, 795940, 8848906, 2963
146318, 66393, 274807, 58954, 547162, 44839, 49390, 635772, 8821284, 3473
66907, 26739, 140358, 25225, 112558, 19078, 13590, 278058, 3478418, 2005
66756, 35266, 185399, 31272, 182392, 23191, 388267, 231606, 4582561, 2584
135161, 63266, 214293, 53238, 283694, 40418, 55578, 552923, 5352493, 2036
155232, 59487, 235497, 53088, 320648, 47564, 385358, 364885, 6424788, 2305
113474, 54281, 194399, 47131, 336767, 38676, 477201, 699547, 8995414, 9189
112830, 53782, 231382, 97842, 437608, 49986, 454122, 472613, 5407101, 2728
116744, 57347, 214689, 62834, 380121, 41586, 399905, 698674, 9701484, 1932
101975, 48764, 194115, 42883, 328156, 33673, 265383, 547404, 9953330, 2011
70169, 34740, 160652, 35995, 162059, 20984, 140064, 295789, 8303498, 3528
167609, 43237, 327887, 50873, 502363, 67289, 382229, 674853, 8648125, 2174
184533, 50652, 245601, 44133, 361617, 34884, 277371, 551161, 10748685, 22363
107651, 42279, 206093, 36728, 248533, 27562, 322650, 191912, 8104820, 5228
127404, 59306, 211402, 50215, 410645, 45565, 440078, 712646, 7323077, 3355
72745, 36559, 138787, 30206, 173371, 23248, 428125, 166549, 5999312, 2732
50237, 25420, 82487, 20546, 135414, 17817, 98029, 228912, 5938820, 2731
124438, 33934, 127407, 28310, 383999, 76078, 749144, 455690, 9773973, 1872
72163, 27312, 110598, 23319, 233322, 19834, 130141, 461973, 4875013, 2974
66220, 34577, 187125, 28408, 199255, 27362, 168161, 343390, 6951072, 2451
52721, 24818, 97634, 30543, 170948, 21407, 200167, 410862, 6154724, 2217
51084, 26789, 92505, 23285, 120221, 16803, 12630, 236456, 3191347, 2617
53147, 37989, 165858, 23613, 143018, 27427, 97215, 201230, 4162550, 1641
48730, 25613, 97932, 20808, 112983, 16550, 12114, 244060, 3184391, 2178
53064, 27414, 107275, 22540, 124574, 17361, 148693, 161180, 3743461, 1745
93808, 42810, 252481, 34332, 267750, 27998, 204659, 380481, 8003183, 2747
157648, 62524, 255264, 49050, 571596, 65646, 370669, 899018, 6533049, 2252
50697, 45115, 95581, 21243, 115296, 17136, 139289, 101479, 2928959, 1795
49955, 30368, 89920, 22592, 147920, 16939, 116983, 251562, 4486945, 2564
69724, 28329, 104715, 23783, 137149, 18147, 13509, 389023, 3778086, 8497
119320, 57517, 515823, 50195, 332044, 42363, 33552, 846143, 7444339, 12408
104592, 50312, 244278, 47224, 473201, 40859, 241294, 643024, 8099081, 1835
108187, 53683, 332597, 51874, 312039, 41716, 33843, 495516, 9824356, 4580
120954, 154360, 343927, 52391, 497671, 67035, 274698, 616169, 10451875, 9668
163953, 71830, 292398, 60635, 568394, 215972, 374382, 337301, 9928766, 2004
129633, 57477, 279754, 71940, 411978, 41862, 255643, 622354, 11603592, 9536
86830, 42322, 161639, 35817, 368972, 32860, 218307, 710482, 5397876, 3744
75651, 37509, 140854, 31974, 246421, 25135, 233871, 381627, 7932102, 3636
119831, 56621, 297360, 49825, 453079, 41321, 249500, 587032, 8325831, 1913
116989, 56455, 218763, 111943, 420714, 38403, 247265, 612590, 8418316, 1672
144911, 66215, 340696, 55412, 433683, 48026, 386748, 378395, 9568169, 2807
111567, 134706, 208170, 50682, 424327, 40317, 272392, 654592, 11145995, 9797
144763, 71655, 228827, 129819, 407213, 39806, 257278, 681268, 7766665, 2452
123204, 58204, 221470, 50872, 347656, 41652, 327860, 278577, 10152571, 3854
119765, 63440, 187659, 44787, 366774, 39050, 277438, 626793, 7776523, 1949
86869, 38828, 145687, 33107, 286266, 31263, 24719, 339865, 5720119, 2459
83457, 41616, 153526, 33748, 197881, 32626, 229926, 245115, 6177323, 1994
105608, 71913, 201411, 45339, 357851, 36849, 31593, 587820, 8171468, 1791
72158, 35351, 124895, 29835, 175043, 24333, 19371, 257493, 5603300, 2280
89368, 43082, 215009, 36605, 197462, 68377, 260671, 196074, 7195788, 2786
50072, 24390, 103884, 22149, 119977, 16649, 11720, 250498, 4706341, 2315
67017, 33926, 125519, 26898, 271238, 26036, 24946, 992430, 6745537, 3099
140720, 57623, 261558, 50205, 434208, 22676, 149210, 286491, 10597450, 4196
138950, 56721, 223299, 49950, 410329, 39220, 34841, 600773, 6599260, 2297
84691, 44192, 163163, 36223, 283854, 28329, 375505, 699959, 13476657, 2063
110308, 53630, 204599, 45786, 348073, 39023, 700395, 562803, 13133305, 9343
67390, 31692, 124515, 26461, 195888, 20572, 19061, 256967, 7995184, 2523
121961, 58148, 224467, 50681, 302537, 48512, 31758, 521072, 6594988, 2056
72304, 37579, 141723, 31174, 158943, 25045, 288207, 159762, 8616346, 4422
52646, 27268, 85034, 22716, 147042, 16096, 102614, 199525, 7441583, 2953
110825, 52841, 243431, 46050, 379644, 39922, 219917, 768555, 7595305, 2477
120784, 58108, 222051, 47714, 251479, 38464, 320528, 277554, 10670709, 9107
69806, 33615, 162914, 27674, 241501, 22513, 143955, 319844, 6536230, 1909
94397, 44190, 174855, 39659, 390978, 34687, 31884, 471412, 8892767, 3858
59978, 42408, 131807, 40560, 154805, 21685, 164430, 128436, 4781744, 2371
106521, 52891, 278138, 121689, 436655, 48801, 45608, 615466, 13511137, 3011
135337, 59587, 300211, 50061, 248873, 41842, 315376, 290980, 11344792, 4245
110795, 52245, 264779, 47234, 219931, 81983, 325024, 283372, 7229068, 2726
129374, 57676, 274934, 51953, 533713, 44395, 294001, 664848, 9154644, 2162
67258, 33170, 120682, 27614, 221929, 20895, 135556, 411560, 10428744, 3508
97560, 43722, 172309, 51833, 319656, 30477, 169677, 370709, 9685141, 3309
47700, 24813, 85302, 19841, 132240, 15921, 102447, 242755, 5884496, 2822
