sc2 Knapsack - 50
1504110559207
1504110559981
1504110560964
1504110561858
1504110562274
1504110562646
1504110563103
1504110563460
1504110563819
1504110564182
1504110564450
1504110564716
1504110565023
1504110565376
1504110565896
1504110566295
1504110566597
1504110566922
1504110567327
1504110567600
1504110568732
1504110571235
1504110573920
1504110575198
1504110575598
1504110575870
1504110576138
1504110576497
1504110576856
1504110577215
1504110577493
1504110577775
1504110578244
1504110578661
1504110578982
1504110579252
1504110579556
1504110579913
1504110580260
1504110580539
1504110580856
1504110581293
1504110581649
1504110581975
1504110582243
1504110582526
1504110582796
1504110583185
1504110583556
1504110583903
1504110584196
1504110584487
1504110584847
1504110585203
1504110585561
1504110585831
1504110586210
1504110586575
1504110586993
1504110587255
1504110587590
1504110588081
1504110588442
1504110588755
1504110589035
1504110589393
1504110589754
1504110590575
1504110590847
1504110591117
1504110591473
1504110591830
1504110592146
1504110592415
1504110592695
1504110593186
1504110593543
1504110593840
1504110594107
1504110594376
1504110594678
1504110595037
1504110595486
1504110595811
1504110596143
1504110596501
1504110596859
1504110597186
1504110597453
1504110597723
1504110598014
1504110598461
1504110598787
1504110599145
1504110599405
1504110599673
1504110599942
1504110600359
1504110600716
1504110600986
1504110601253
sc2 Knapsack - 400
1504110782707
1504110785553
1504110786943
1504110788004
1504110788958
1504110791047
1504110796954
1504110799953
1504110801400
1504110802124
1504110802771
1504110803317
1504110803887
1504110804388
1504110804859
1504110805405
1504110805850
1504110806408
1504110806760
1504110807215
1504110807714
1504110808153
1504110808546
1504110808938
1504110809367
1504110809748
1504110810173
1504110810652
1504110811031
1504110811398
1504110811682
1504110812016
1504110812326
1504110812622
1504110812973
1504110813221
1504110813597
1504110813806
1504110814185
1504110814405
1504110814676
1504110814983
1504110815171
1504110815533
1504110815784
1504110816034
1504110816297
1504110816559
1504110816760
1504110817119
1504110817392
1504110817749
1504110817944
1504110818144
1504110818477
1504110818660
1504110819020
1504110819225
1504110819417
1504110819837
1504110820002
1504110820170
1504110820530
1504110820721
1504110820873
1504110821176
1504110821369
1504110821531
1504110821706
1504110821958
1504110822277
1504110822485
1504110822641
1504110822862
1504110823244
1504110823574
1504110823725
1504110823859
1504110824133
1504110824334
1504110824637
1504110824888
1504110825061
1504110825536
1504110825701
1504110825904
1504110826235
1504110826392
1504110826655
1504110826806
1504110827021
1504110827166
1504110827367
1504110827507
1504110827680
1504110827843
1504110828011
1504110828285
1504110828477
1504110828656
1504110828958
sc2 Knapsack - 1000
1504110937400
1504110940073
1504110941560
1504110942612
1504110943599
1504110944344
1504110945130
1504110945783
1504110946335
1504110946945
1504110947523
1504110948166
1504110949255
1504110949712
1504110950223
1504110950706
1504110951254
1504110951703
1504110952174
1504110952544
1504110952978
1504110953377
1504110953703
1504110954060
1504110954553
1504110954920
1504110955321
1504110955722
1504110956067
1504110956549
1504110956880
1504110957090
1504110957341
1504110957610
1504110957953
1504110958274
1504110958521
1504110958877
1504110959158
1504110959474
1504110959825
1504110960035
1504110960413
1504110960686
1504110961012
1504110961298
1504110961569
1504110962156
1504110962344
1504110962727
1504110962923
1504110963276
1504110963545
1504110963850
1504110964021
1504110964352
1504110964513
1504110964775
1504110965047
1504110965196
1504110965536
1504110965727
1504110965992
1504110966230
1504110966460
1504110966817
1504110967063
1504110967236
1504110967427
1504110967744
1504110967926
1504110968073
1504110968367
1504110968638
1504110968832
1504110969129
1504110969273
1504110969509
1504110969666
1504110969895
1504110970141
1504110970337
1504110970503
1504110970673
1504110970934
1504110971213
1504110971502
1504110971685
1504110971863
1504110972114
1504110972299
1504110972476
1504110972631
1504110972899
1504110973022
1504110973242
1504110973510
1504110973686
1504110973866
1504110974013
1504110974203
